[*] Performing Reverse Lookup from 167.114.21.0 to 167.114.21.255
[+] 	 PTR satrev2113.baraghost.com 167.114.21.13
[+] 	 PTR ip9.ip-167-114-21.net 167.114.21.9
[+] 	 PTR ip11.ip-167-114-21.net 167.114.21.11
[+] 	 PTR satrev2114.baraghost.com 167.114.21.14
[+] 	 PTR ip10.ip-167-114-21.net 167.114.21.10
[+] 	 PTR ip33.ip-167-114-21.net 167.114.21.33
[+] 	 PTR satrev2112.baraghost.com 167.114.21.12
[+] 	 PTR ip38.ip-167-114-21.net 167.114.21.38
[+] 	 PTR ip39.ip-167-114-21.net 167.114.21.39
[+] 	 PTR ip35.ip-167-114-21.net 167.114.21.35
[+] 	 PTR ip50.ip-167-114-21.net 167.114.21.50
[+] 	 PTR ip48.ip-167-114-21.net 167.114.21.48
[+] 	 PTR ip53.ip-167-114-21.net 167.114.21.53
[+] 	 PTR ip8.ip-167-114-21.net 167.114.21.8
[+] 	 PTR ip34.ip-167-114-21.net 167.114.21.34
[+] 	 PTR beta.megacorpone.com 167.114.21.65
[+] 	 PTR mail.megacorpone.com 167.114.21.68
[+] 	 PTR siem.megacorpone.com 167.114.21.71
[+] 	 PTR vpn2.megacorpone.com 167.114.21.77
[+] 	 PTR vpn.megacorpone.com 167.114.21.76
[+] 	 PTR fs1.megacorpone.com 167.114.21.66
[+] 	 PTR admin.megacorpone.com 167.114.21.64
[+] 	 PTR router.megacorpone.com 167.114.21.70
[+] 	 PTR test.megacorpone.com 167.114.21.75
[+] 	 PTR support.megacorpone.com 167.114.21.74
[+] 	 PTR vpnprod.megacorpone.com 167.114.21.79
[+] 	 PTR syslog.megacorpone.com 167.114.21.73
[+] 	 PTR snmp.megacorpone.com 167.114.21.72
[+] 	 PTR monitoramento.nortehost.com 167.114.21.61
[+] 	 PTR intranet.megacorpone.com 167.114.21.67
[+] 	 PTR vpndev.megacorpone.com 167.114.21.78
[+] 	 PTR mail4069.hospedameusite.net 167.114.21.105
[+] 	 PTR ortodontiabrasilia.hospedameusite.net 167.114.21.106
[+] 	 PTR mail2.megacorpone.com 167.114.21.69
[+] 	 PTR empregosnojapao.hospedameusite.com.br 167.114.21.107
[+] 	 PTR uglifruit.noproblemnetworks.com 167.114.21.118
[+] 	 PTR ip119.ip-167-114-21.net 167.114.21.119
[+] 	 PTR ip128.ip-167-114-21.net 167.114.21.128
[+] 	 PTR koala.noproblemnetworks.com 167.114.21.117
[+] 	 PTR ip127.ip-167-114-21.net 167.114.21.127
[+] 	 PTR ip133.ip-167-114-21.net 167.114.21.133
[+] 	 PTR ip134.ip-167-114-21.net 167.114.21.134
[+] 	 PTR ip120.ip-167-114-21.net 167.114.21.120
[+] 	 PTR ip121.ip-167-114-21.net 167.114.21.121
[+] 	 PTR ip132.ip-167-114-21.net 167.114.21.132
[+] 	 PTR ip131.ip-167-114-21.net 167.114.21.131
[+] 	 PTR ip124.ip-167-114-21.net 167.114.21.124
[+] 	 PTR ip123.ip-167-114-21.net 167.114.21.123
[+] 	 PTR ip125.ip-167-114-21.net 167.114.21.125
[+] 	 PTR ip135.ip-167-114-21.net 167.114.21.135
[+] 	 PTR ip137.ip-167-114-21.net 167.114.21.137
[+] 	 PTR ip136.ip-167-114-21.net 167.114.21.136
[+] 	 PTR ip138.ip-167-114-21.net 167.114.21.138
[+] 	 PTR ip130.ip-167-114-21.net 167.114.21.130
[+] 	 PTR ip142.ip-167-114-21.net 167.114.21.142
[+] 	 PTR ip139.ip-167-114-21.net 167.114.21.139
[+] 	 PTR solr.angelihost.com 167.114.21.146
[+] 	 PTR ip140.ip-167-114-21.net 167.114.21.140
[+] 	 PTR angelihost.com 167.114.21.145
[+] 	 PTR dev.angelihost.com 167.114.21.144
[+] 	 PTR satrev2115.baraghost.com 167.114.21.15
[+] 	 PTR bvpdigitalquest.com 167.114.21.164
[+] 	 PTR dipromedicos.com 167.114.21.167
[+] 	 PTR cuddlybooks.com 167.114.21.165
[+] 	 PTR croatiagulet-hera.info 167.114.21.166
[+] 	 PTR ip169.ip-167-114-21.net 167.114.21.169
[+] 	 PTR ip172.ip-167-114-21.net 167.114.21.172
[+] 	 PTR ip168.ip-167-114-21.net 167.114.21.168
[+] 	 PTR ip170.ip-167-114-21.net 167.114.21.170
[+] 	 PTR ip174.ip-167-114-21.net 167.114.21.174
[+] 	 PTR ip173.ip-167-114-21.net 167.114.21.173
[+] 	 PTR ip178.ip-167-114-21.net 167.114.21.178
[+] 	 PTR ip175.ip-167-114-21.net 167.114.21.175
[+] 	 PTR temple.thetemplehost.com 167.114.21.177
[+] 	 PTR ip181.ip-167-114-21.net 167.114.21.181
[+] 	 PTR ip183.ip-167-114-21.net 167.114.21.183
[+] 	 PTR ip176.ip-167-114-21.net 167.114.21.176
[+] 	 PTR ponyx.thetemplehost.com 167.114.21.182
[+] 	 PTR ip180.ip-167-114-21.net 167.114.21.180
[+] 	 PTR ip179.ip-167-114-21.net 167.114.21.179
[+] 	 PTR ip188.ip-167-114-21.net 167.114.21.188
[+] 	 PTR ip190.ip-167-114-21.net 167.114.21.190
[+] 	 PTR ip193.ip-167-114-21.net 167.114.21.193
[+] 	 PTR ip194.ip-167-114-21.net 167.114.21.194
[+] 	 PTR ip192.ip-167-114-21.net 167.114.21.192
[+] 	 PTR ip191.ip-167-114-21.net 167.114.21.191
[+] 	 PTR ip189.ip-167-114-21.net 167.114.21.189
[+] 	 PTR ip198.ip-167-114-21.net 167.114.21.198
[+] 	 PTR ip196.ip-167-114-21.net 167.114.21.196
[+] 	 PTR server5.clickjuicer.com 167.114.21.208
[+] 	 PTR ip206.ip-167-114-21.net 167.114.21.206
[+] 	 PTR ip212.ip-167-114-21.net 167.114.21.212
[+] 	 PTR ip211.ip-167-114-21.net 167.114.21.211
[+] 	 PTR ip219.ip-167-114-21.net 167.114.21.219
[+] 	 PTR ip217.ip-167-114-21.net 167.114.21.217
[+] 	 PTR ip218.ip-167-114-21.net 167.114.21.218
[+] 	 PTR srv1.sector7.dev 167.114.21.225
[+] 	 PTR myserver.krittel.com 167.114.21.227
[+] 	 PTR proxy2.studio4host.com 167.114.21.230
[+] 	 PTR nagios.centos-webpanel.com 167.114.21.233
[+] 	 PTR vps01.vccnet.ca 167.114.21.234
